mtSNP	Position	Info	Haplogroups
14524G	14524	VARIANT	C1b4
16390T	16390	VARIANT	L0d1b1c,L0d2d
16270T!	16270	BACKMUTATION	U5b2a1a1a,U5b2a1a1b,U5b2a1a1d,U5b2a1a1,U5b2a1a+16311,U5b2a1a2,U5b2a1a,U5b2a1b,U5b2a1
12696C	12696	VARIANT	H56b,H89,HV1b1a,HV1b1b,HV1b1,HV1b2,HV1b3a,HV1b3b,HV1b3,HV1b+152,HV1b,U5b2b1a2,M33a1b,L1b1a18,L0d1a1a1,L0d1a1a2,L0d1a1a3,L0d1a1a
10166C	10166	VARIANT	H4b1,H4b,J1d2a,J1d2,M5b2b1a,M27b1,M27b2a1,M27b2a,M27b2b1,M27b2b,M27b2c,M27b2,M27b
13326C	13326	VARIANT	H1e1a2,H13a1a1a,H13a1a1b,H13a1a1c,H13a1a1d1,H13a1a1d,H13a1a1e,H13a1a1,K1a1b2a1a,K1a1b2a1,K1a1b2a,K1a1b2b,K1a1b2,C1b6
11497T	11497	VARIANT	R8a1a2a,K1a12a1a
8848C	8848	VARIANT	C1b6,M33c
3594T	3594	VARIANT	L6a,L6b,L6,L2a1a1,L2a1a2a1a,L2a1a2a1,L2a1a2a,L2a1a2b,L2a1a2c,L2a1a2,L2a1a3a,L2a1a3b,L2a1a3c,L2a1a3,L2a1a,L2a1b1a,L2a1b1,L2a1b2,L2a1b3,L2a1b+143,L2a1b,L2a1f1a,L2a1f1,L2a1f2,L2a1f3,L2a1f,L2a1g,L2a1+16189  (16192),L2a1c1a1,L2a1c1a2,L2a1c1a,L2a1c1,L2a1c6,L2a1c+16086,L2a1c2a,L2a1c2,L2a1c3a1,L2a1c3a,L2a1c3b1,L2a1c3b2,L2a1c3b,L2a1c3,L2a1c4a1,L2a1c4a,L2a1c4,L2a1c5,L2a1c+16129,L2a1c,L2a1d1,L2a1d2,L2a1d,L2a1h,L2a1+143+@16309,L2a1e1,L2a1e,L2a1i1,L2a1i,L2a1q,L2a1+143+16189  (16192)+@16309,L2a1j,L2a1k,L2a1l1a1,L2a1l1a2,L2a1l1a,L2a1l1b,L2a1l1,L2a1l2a1,L2a1l2a,L2a1l2,L2a1l3,L2a1l,L2a1m1a,L2a1m1,L2a1m,L2a1n,L2a1o,L2a1p,L2a1+143+16189  (16192),L2a1+143,L2a1,L2a2a1,L2a2a,L2a2b1a,L2a2b1,L2a2b2,L2a2b,L2a2,L2a3,L2a2'3,L2a4a,L2a4b,L2a4,L2a2'3'4,L2a1'2'3'4,L2a5,L2a,L2b1a2,L2b1a3,L2b1a4,L2b1a,L2b1b,L2b1,L2b2a,L2b2,L2b3a,L2b3b,L2b3c,L2b3,L2b,L2c1a,L2c1,L2c2a1,L2c2a,L2c2b1a,L2c2b1b,L2c2b1,L2c2b2,L2c2b,L2c2,L2c3a,L2c3,L2c4,L2c5,L2c,L2b'c,L2d1a,L2d1,L2d+16129,L2d,L2b'c'd,L2a'b'c'd,L2e1a,L2e1,L2e,L2,L5a1a,L5a1b,L5a1c,L5a1,L5a2,L5a,L5b1a,L5b1b,L5b1,L5b2,L5b,L5,L1b1a1,L1b1a4a,L1b1a4,L1b1a1'4,L1b1a2a,L1b1a2,L1b1a3a1,L1b1a3a,L1b1a3b,L1b1a3,L1b1a9,L1b1a15a,L1b1a15,L1b1a17,L1b1a18,L1b1a+189,L1b1a5,L1b1a6,L1b1a7a,L1b1a7,L1b1a8,L1b1a10a,L1b1a10b,L1b1a10,L1b1a12a,L1b1a12b,L1b1a12,L1b1a13,L1b1a14,L1b1a16,L1b1a,L1b1,L1b2a,L1b2,L1b3,L1b2'3,L1b,L1c1a1a1a,L1c1a1a1b1,L1c1a1a1b,L1c1a1a1,L1c1a1a2,L1c1a1a,L1c1a1b,L1c1a1,L1c1a2a1,L1c1a2a2,L1c1a2a,L1c1a2b,L1c1a2c,L1c1a2,L1c1a+@198,L1c1a,L1c1b1,L1c1b,L1c1d1,L1c1d,L1c1b'd,L1c1a'b'd,L1c1c,L1c1,L1c2a1a,L1c2a1b,L1c2a1,L1c2a2,L1c2a3a,L1c2a3,L1c2a,L1c2b1a1,L1c2b1a,L1c2b1b1,L1c2b1b,L1c2b1a'b,L1c2b1c,L1c2b1,L1c2b2,L1c2b,L1c2,L1c4a,L1c4b,L1c4,L1c2'4,L1c6,L1c1'2'4'6,L1c5,L1c1'2'4'5'6,L1c3a1a,L1c3a1b,L1c3a1,L1c3a,L1c3b1a,L1c3b1b,L1c3b1,L1c3b2,L1c3b,L1c3c,L1c3b'c,L1c3,L1c,L1,L0a1a1,L0a1a2,L0a1a3,L0a1a+200,L0a1a,L0a1b1a1a,L0a1b1a1,L0a1b1a,L0a1b1,L0a1b2a,L0a1b2,L0a1b,L0a1c1,L0a1c,L0a1d,L0a1+16293,L0a1e,L0a1,L0a4,L0a1'4,L0a2a1a1,L0a2a1a2,L0a2a1a,L0a2a1b,L0a2a1,L0a2a2a1,L0a2a2a2,L0a2a2a,L0a2a2,L0a2a,L0a2b1,L0a2b,L0a2c,L0a2d,L0a2,L0a3,L0a,L0g,L0a'g,L0b,L0a'b'g,L0f1,L0f2a1,L0f2a,L0f2b,L0f2,L0f,L0a'b'f'g,L0k1a1a,L0k1a1b,L0k1a1c,L0k1a1d,L0k1a1,L0k1a2a,L0k1a2,L0k1a3,L0k1a,L0k1b,L0k1,L0k2a1a,L0k2a1,L0k2a,L0k2b,L0k2,L0k,L0a'b'f'g'k,L0d1a1a1,L0d1a1a2,L0d1a1a3,L0d1a1a,L0d1a1b1a,L0d1a1b1b,L0d1a1b1,L0d1a1b,L0d1a1c,L0d1a1d,L0d1a1,L0d1a,L0d1d,L0d1a'd,L0d1c1a1a1,L0d1c1a1a2,L0d1c1a1a,L0d1c1a1b,L0d1c1a1,L0d1c1a2,L0d1c1a,L0d1c1,L0d1c2a1,L0d1c2a,L0d1c2,L0d1c3,L0d1c,L0d1a'c'd,L0d1b1a1,L0d1b1a,L0d1b1b1,L0d1b1b,L0d1b1c,L0d1b1+@152,L0d1b1,L0d1b2a1,L0d1b2a2,L0d1b2a,L0d1b2b1a,L0d1b2b1b1,L0d1b2b1b,L0d1b2b1,L0d1b2b2a,L0d1b2b2b1,L0d1b2b2b,L0d1b2b2c1,L0d1b2b2c2,L0d1b2b2c,L0d1b2b2,L0d1b2b,L0d1b2,L0d1b,L0d1,L0d2a1a1a,L0d2a1a1,L0d2a1a2,L0d2a1a3,L0d2a1a,L0d2a1b,L0d2a1c,L0d2a1,L0d2a2,L0d2a,L0d2b1a1a,L0d2b1a1,L0d2b1a,L0d2b1b,L0d2b1,L0d2b2,L0d2b,L0d2d,L0d2a'b'd,L0d2c1a1,L0d2c1a,L0d2c1b,L0d2c1,L0d2c2a1a,L0d2c2a1,L0d2c2a,L0d2c2b,L0d2c2,L0d2c,L0d2,L0d1'2,L0d3a,L0d3b1,L0d3b2,L0d3b,L0d3,L0d,L0,L*,L1'2'3'4'5'6,L2'3'4'5'6,L2'3'4'6,L3'4'6
12562T	12562	VARIANT	L0d2c1b
